영화명,감독,배우,장르,등급,전국관객수
우리 생애 최고의 순간,임순례,문소리/김정은/엄태웅/김지영/조은지/민지/남궁/이미도/조영진/이봉규/정석용/하정우/최욱/정세형/김강민/김종언,드라마,전체관,4044582
혹성탈출: 반격의 서막,맷 리브스,앤디 서키스/게리 올드만/제이슨 클락/주디 그리어/케리 러셀/토비 켑벨/커크 에이스베도/코디 스밋 맥피/카린 코노발/테리 노터리/닛 써스턴/존 아이즈/엔리크 머시아노/라라미 덕 쇼/리 로스,액션,12세,4002134
타짜-신의 손,강형철,최승현/신세경/곽도원/이하늬/유해진/김윤석/이경영/김인권/오정세/고수희/박효주/고준/이동휘/김원해/이준혁/김민상/조경현/손상경/박수영/임정은/정윤석,드라마,청소년,4001813
쿵푸팬더3,여인영/알레산드로 칼로니,잭 블랙/안젤리나 졸리/더스틴 호프만/성룡/,애니메이션,전체관,3970327
캡틴 아메리카: 윈터 솔져,조 루소/안소니 루소,크리스 에반스/스칼렛 요한슨/사무엘 L. 잭슨/세바스찬 스탠/코비 스멀더스/안소니 마키/로버트 레드포드/헤일리 앳웰/에밀리 반캠프/프랭크 그릴로/토비 존스,액션,15세,3963220
공공의 적 2,강우석,설경구/정준호/강신일/박근형/변희봉/임승대/박상욱/엄태웅/정규수,드라마,15세,3911356
박수건달,조진규,박신양/김정태/엄지원/정혜영/김성균/최일화/최지호/김형범,코미디,15세,3893216
한반도,강우석,조재현/차인표/안성기/문성근/강신일/김상중/강수연/독고영재,드라마,15세,3880308
조선명탐정 : 사라진 놉의 딸,김석윤,김명민/오달수/이연희/조관우/정원중/이채은/황채원/황정민,사극,12세,3872015
역린,이재규,현빈/정재영/조정석/조재현/한지민/김성령/박성웅/정은채/송영창/이도경/서이숙/김민재/김대명/김주완/유은미/성유빈/천보근/구승현/이재희/전국향/문지현/김창회,사극,15세,3849433
매드 맥스: 분노의 도로,조지 밀러,톰 하디/샤를리즈 테론/니콜라스 홀트/휴 키스-번/조 크라비츠/로지 헌팅턴 휘틀리/라일리 코프/메간 게일/애비 리/코트니 이튼/조쉬 헬먼/네이던 존스/앵거스 샘슨/리처드 카터/멜리사 제퍼/리차드 노튼,액션,15세,3842441
쌍화점,유하,조인성/주진모/송지효/심지호/임주환/여욱환/송중기,드라마,청소년,3779553
신기전,김유진,정재영/한은정/허준호/안성기/정성모/김명수/이도경/인교진/류현경/서주성/조원희/오순태/신정근,사극,15세,3726134
친절한 금자씨,박찬욱,이영애/최민식/권예영/김시후/남일우/김병옥/오달수/이승신/김부선/라미란,스릴러,18세,3650000
해리포터와 불의 잔,마이크 뉴웰,다니엘 래드클리프/엠마 왓슨/루퍼트 그린트/케이티 렁/프레드랙 베랙/로비 콜트레인/랄프 파인즈/톰 펠튼/마이클 갬본/브렌단 글리슨/로버트 하디/제이슨 아이삭스/게리 올드만/로버트 패틴슨,판타지,전체관,3615000
인턴,낸시 마이어스,앤 해서웨이/로버트 드 니로/르네 루소/냇 울프/아담 드바인/앤드류 라넬스,코미디,12세,3610642
리얼 스틸,숀 레비,휴 잭맨/에반젤린 릴리/다코타 고요/케빈 두런드/홉 데이비스/제임스 레브혼/칼 윤/앤트워넷 닉프레라이/필 라마/안소니 마키,액션,12세,3579666
신의 한 수,조범구,정우성/이범수/안성기/김인권/이시영/안길강/이도경/최진혁/정해균/안서현/김명수/황춘하/이일섭/김세동,범죄,청소년,3562123
미스터 & 미세스 스미스,더그 라이만,브래드 피트/안젤리나 졸리/아담 브로디/케리 워싱턴,멜로/로맨스,15세,3546900
해리 포터와 불사조 기사단,데이빗 예이츠,다니엘 래드클리프/엠마 왓슨/루퍼트 그린트/제이슨 아이삭스/이반나 린치/이멜다 스턴톤/랄프 파인즈/헬레나 본햄 카터/아프샨 아재드/톰 펠튼/게리 올드만/나탈리아 테나/보니 라이트/조지 해리스/캐스린 헌터,판타지,전체관,3475000
가문의 부활 - 가문의 영광3,정용기,신현준/탁재훈/김원희/김수미/공형진/신이/임형준/정준하,코미디,15세,3464516
부러진 화살,정지영,안성기/박원상/나영희/김지호/문성근/이경영/김웅수/진경,드라마,15세,3450941
끝까지 간다,김성훈,이선균/조진웅/신정근/정만식/신동미/김동영/주석태/허정은/박보검/이재원,액션,15세,3450143
